"month","registrations"
"2020-01-01","418"
"2020-02-01","248"
"2020-03-01","150"
"2020-04-01","1"
"2020-05-01","88"
"2020-06-01","290"
"2020-07-01","192"
"2020-08-01","135"
"2020-09-01","107"
"2020-10-01","126"
"2020-11-01","103"
"2020-12-01","141"
"2021-01-01","65"
"2021-02-01","132"
"2021-03-01","483"
"2021-04-01","381"
"2021-05-01","372"
"2021-06-01","11"
"2021-07-01","72"
"2021-08-01","154"
"2021-09-01","345"
"2021-10-01","336"
"2021-11-01","312"
"2021-12-01","325"
"2022-01-01","323"
"2022-02-01","471"
"2022-03-01","1329"
"2022-04-01","1215"
"2022-05-01","1264"
"2022-06-01","1525"
"2022-07-01","1376"
"2022-08-01","1683"
"2022-09-01","2174"
"2022-10-01","2080"
"2022-11-01","2327"
"2022-12-01","2739"
"2023-01-01","1681"
"2023-02-01","2521"
"2023-03-01","2998"
"2023-04-01","1933"
"2023-05-01","2490"
"2023-06-01","2409"
"2023-07-01","2213"
"2023-08-01","2847"
"2023-09-01","2707"
"2023-10-01","3599"
"2023-11-01","4204"
"2023-12-01","5914"
"2024-01-01","3504"
"2024-02-01","2856"
"2024-03-01","4521"
"2024-04-01","3370"
"2024-05-01","4323"
"2024-06-01","3811"
"2024-07-01","4003"
"2024-08-01","3698"
"2024-09-01","3201"
"2024-10-01","3373"
"2024-11-01","3668"
"2024-12-01","5987"
"2025-01-01","3940"
"2025-02-01","4272"
"2025-03-01","5748"
